food, starch,, potato,10, en,1
leisure, form of entertainment,, games,10, en,1
mobility, traveling,, bus,10, en,1
leisure, delight senses,, music,10, en,1
dwelling, hotel,, sleep,10, en,1
mobility, automobiel,, auto,10, nl,1
mobility, headlights for night driving,, car,10, en,1
mobility, arrive on time,, train,10, en,1
mobility, transport collection of objects,, bus,10, en,1
leisure, surprise guest,, party,10, en,1
dwelling, fence around,, house,10, en,1
mobility, road,, bus,10, en,1
leisure, express emotion,, music,10, en,1
food, potato leek soup,, potato,10, en,1
leisure, pisshead,, drunk,10, en,1
mobility, taximeter cab,, taxi,10, en,1
dwelling, put up,, house,10, en,1
mobility, bow and stern,, ship,10, en,1
dwelling, living,, home,10, en,1
dwelling, management,, house,10, en,1
mobility, dysphemism,, bus,10, en,1
food, tin foil,, potato,10, en,1
leisure, social occasion,, reunion,10, en,1
mobility, carriage,, cab,10, en,1
food, making toast,, bread,10, en,1
dwelling, abandoned,, bad,10, en,1
food, meals,, meat,10, en,1
food, nourishment,, meat,10, en,1
dwelling, burn down,, house,10, en,1
dwelling, room in house,, kitchen,10, en,1
mobility, much heavier than car,, ship,10, en,1
dwelling, vliegtuig,, toestel,10, nl,1
food, noun or verb,, milk,10, en,1
leisure, soothe savage beast,, music,10, en,1
mobility, travel over bridge,, car,10, en,1
leisure, meet new people,, party,10, en,1
food, fridge,, milk,10, en,1
food, healty,, fruit,10, en,1
mobility, th,, ship,10, en,1
dwelling, feeling good,, bath,10, en,1
food, vegetable market,, potato,10, en,1
leisure, fuif,, party,10, nl,1
leisure, quiet babies,, music,10, en,1
dwelling, gallery opening,, bathroom,10, en,1
mobility, public transportation device,, bus,10, en,1
food, soil,, potato,10, en,1
leisure, getting wasted,, party,10, en,1
dwelling, fraternity house,, kitchen,10, en,1
leisure, pattern of sounds,, music,10, en,1
leisure, beautifull,, music,10, en,1
dwelling, corrupt,, bad,10, en,1
dwelling, furniture,, home,10, en,1
dwelling, village,, house,10, en,1
food, fruit store,, potato,10, en,1
food, meat,, food,10, en,1
mobility, saving money,, bus,10, en,1
food, in chinese food,, meat,10, en,1
food, food market,, potato,10, en,1
mobility, filter,, car,10, en,1
mobility, arrive at station,, train,10, en,1
food, foundation for health,, food,10, en,1
leisure, sleep,, sleep,10, en,1
leisure, spread happiness,, music,10, en,1
dwelling, cleansing body,, bath,10, en,1
dwelling, vegetation,, garden,10, en,1
dwelling, feel tired,, sleep,10, en,1
dwelling, removing dirt,, bath,10, en,1
mobility, drop height,, plane,10, en,1
food, dark cold room,, potato,10, en,1
leisure, elevator,, music,10, en,1
dwelling, tired,, sleep,10, en,1
mobility, tail another car,, car,10, en,1
dwelling, kist,, toestel,10, nl,1
leisure, games,, games,10, en,1
leisure, special notation,, music,10, en,1
food, form of protein,, meat,10, en,1
mobility, seat,, car,10, en,1
dwelling, building,, house,10, en,1
leisure, national holiday,, holiday,10, en,1
dwelling, space for growing plants,, garden,10, en,1
food, consequence,, fruit,10, en,1
leisure, portable time telling device,, watch,10, en,1
dwelling, host,, house,10, en,1
mobility, string,, train,10, en,1
mobility, bus,, bus,10, nl,1
dwelling, place,, house,10, en,1
food, animals to eat,, meat,10, en,1
dwelling, washing oneself,, bath,10, en,1
dwelling, gaarde,, garden,10, nl,1
food, jail,, bread,10, en,1
dwelling, flowers,, garden,10, en,1
leisure, trip,, vacation,10, en,1
food, grocery bag,, potato,10, en,1
mobility, tuig,, vliegtuig,10, nl,1
food, compost pile,, potato,10, en,1
mobility, heading east,, ship,10, en,1
dwelling," ""friends house""",, kitchen,10, en,1
mobility, windows,, car,10, en,1
food, rise slowly,, bread,10, en,1
food, flesh,, vlees,10, en,1
food, rice,, rice,10, en,1
mobility, form of mass transportation,, bus,10, en,1
mobility, travel between bus stops,, bus,10, en,1
food, huisdier,, eten,10, nl,1
dwelling, library,, bathroom,10, en,1
food, reproduce,, brood,10, en,1
mobility, digit trunk,, bus,10, en,1
leisure, tour,, reizen,10, en,1
leisure, beautiful thing,, music,10, en,1
leisure, make people imagine colours,, music,10, en,1
leisure, olahraga,, sport,10, ms,1
dwelling, device,, appliance,10, en,1
leisure, time off,, holiday,10, en,1
dwelling, kitchen,, keuken,10, en,1
leisure, trip,, travel,10, en,1
food, lot of protein,, meat,10, en,1
leisure, party,, party,10, en,1
food, content,, food,10, en,1
leisure, sound lovely,, music,10, en,1
food, plant,, fruit,10, en,1
leisure, strenuous form of exercise,, sport,10, en,1
leisure, movement,, travel,10, en,1
food, jar,, fruit,10, en,1
dwelling, grow vegetables,, garden,10, en,1
leisure, celebrating birthday,, party,10, en,1
mobility, taxicab,, cab,10, en,1
dwelling, uncollectible,, bad,10, en,1
mobility, cost lot of money,, car,10, en,1
dwelling, suburbs,, house,10, en,1
food, starches,, potato,10, en,1
mobility, stadsbus,, bus,10, nl,1
mobility, commute to work,, bus,10, en,1
mobility, showing off wealth,, car,10, en,1
mobility, drive down street,, car,10, en,1
food, market,, meat,10, en,1
mobility, car,, taxi,10, en,1
dwelling, huis,, home,10, nl,1
leisure, charms,, music,10, en,1
food, subsistence,, food,10, en,1
leisure," ""doctors office""",, music,10, en,1
food," ""persons stomach""",, potato,10, en,1
mobility, computer,, bus,10, en,1
leisure, meeting new people,, party,10, en,1
food, go off,, fruit,10, en,1
dwelling, party,, party,10, en,1
food, to,, bread,10, en,1
leisure, more at ease,, relax,10, en,1
dwelling, store,, house,10, en,1
mobility, aeroplane,, airplane,10, en,1
dwelling, slepen,, sleep,10, nl,1
mobility, run out of gas,, car,10, en,1
mobility, true board,, plane,10, en,1
mobility, big cities,, bus,10, en,1
food, potato,, aardappel,10, en,1
mobility, cut,, plane,10, en,1
mobility, motorbus,, bus,10, en,1
leisure, jail,, drunk,10, en,1
food, container,, milk,10, en,1
food, animal muscles,, meat,10, en,1
mobility, schip,, ship,10, nl,1
dwelling, apparaat,, toestel,10, nl,1
leisure, diversion,, fun,10, en,1
mobility, large seagoing vessel,, ship,10, en,1
leisure, muziek,, music,10, nl,1
food, boodle,, bread,10, en,1
mobility, junkyard,, car,10, en,1
leisure, gebeurtenis,, event,10, nl,1
leisure, fun part of life,, music,10, en,1
mobility, car nicobarese,, car,10, en,1
leisure, recreational,, recreation,10, en,1
dwelling, noun,, house,10, en,1
mobility, list to one side,, ship,10, en,1
food, waste bin,, food,10, en,1
leisure, olah raga,, sport,10, ms,1
mobility, trail,, train,10, en,1
dwelling, convenience store,, bathroom,10, en,1
food, bag,, potato,10, en,1
food, cabbage,, vegetable,10, en,1
dwelling, inferior,, bad,10, en,1
mobility, near house,, car,10, en,1
food, milk,, milk,10, nl,1
food, eten,, eten,10, en,1
food, pleasant taste,, fruit,10, en,1
mobility, wahon,, car,10, ms,1
leisure, make friends,, party,10, en,1
dwelling, growing edible plants,, garden,10, en,1
leisure, bezoeken,, visit,10, nl,1
leisure, organization,, party,10, en,1
mobility, transportation,, bus,10, en,1
food, broed,, brood,10, nl,1
dwelling, greenthumb,, garden,10, en,1
mobility, motor oil,, car,10, en,1
dwelling, michigan,, home,10, en,1
mobility, tram,, tram,10, en,1
food, frying pan,, meat,10, en,1
food, tearing,, bread,10, en,1
mobility, airplane,, airplane,10, nl,1
mobility, bus stop,, bus,10, en,1
dwelling, create own environment,, garden,10, en,1
food," ""natures candy""",, fruit,10, en,1
leisure, machine,, watch,10, en,1
leisure, muziek,, muziek,10, en,1
leisure, broadening,, travel,10, en,1
leisure, watch store,, watch,10, en,1
dwelling, farm,, garden,10, en,1
leisure, method of expression,, music,10, en,1
leisure, meeting people,, party,10, en,1
leisure, shift,, watch,10, en,1
mobility, travel through many time zones,, airplane,10, en,1
mobility, ride,, bus,10, en,1
dwelling, tough,, bad,10, en,1
mobility, engine,, car,10, en,1
leisure, recreation,, recreation,10, nl,1
dwelling, furniture,, house,10, en,1
leisure, bank holiday,, holiday,10, en,1
dwelling, living in when not at work,, home,10, en,1
leisure, leave,, holiday,10, en,1
leisure, psychological feature,, event,10, en,1
food, stenen,, eten,10, nl,1
leisure, take nap,, relax,10, en,1
leisure, thaught through books,, music,10, en,1
food, ooft,, fruit,10, nl,1
leisure, include cruise,, vacation,10, en,1
mobility, become dirty,, car,10, en,1
mobility, runway,, plane,10, en,1
dwelling, entertainment,, sleep,10, en,1
leisure, song,, singsong,10, en,1
food, vrucht,, fruit,10, nl,1
leisure, entertainment in themselves,, games,10, en,1
food, rice,, rijst,10, en,1
mobility," ""drivers cab""",, cab,10, en,1
mobility, busbar,, bus,10, en,1
leisure, mathematical structure,, music,10, en,1
dwelling, rumah,, home,10, ms,1
food, commons,, food,10, en,1
food, meat,, vlees,10, en,1
dwelling, temple,, slaap,10, en,1
dwelling, going to relieve oneself in,, bathroom,10, en,1
dwelling, mall,, bathroom,10, en,1
food, starches,, rice,10, en,1
food, sweet and good,, fruit,10, en,1
dwelling, ungodly,, bad,10, en,1
mobility, bigger than truck,, ship,10, en,1
food, dead muscle tissue,, meat,10, en,1
food, taste sweet,, fruit,10, en,1
leisure, sport,, sport,10, en,1
mobility, trein,, trein,10, en,1
leisure, bezoeken,, bezoek,10, nl,1
food, commonly,, bread,10, en,1
mobility, piloted by captain,, ship,10, en,1
mobility, road,, car,10, en,1
food, grocery,, potato,10, en,1
mobility, droshky,, cab,10, en,1
food, bloem,, eten,10, nl,1
dwelling, resturaunt,, kitchen,10, en,1
food, foodstore,, potato,10, en,1
mobility, egaal,, vlak,10, nl,1
leisure, vacate,, vacation,10, en,1
leisure, holiday,, holiday,10, en,1
food, bread,, brood,10, en,1
mobility, get to work,, bus,10, en,1
leisure, fun,, sport,10, en,1
dwelling, wretched,, bad,10, en,1
dwelling, peeing,, bathroom,10, en,1
food, foodstuff,, food,10, en,1
leisure, time race,, watch,10, en,1
dwelling, bath,, bath,10, en,1
food, bread,, bread,10, en,1
mobility, parade,, car,10, en,1
dwelling, motel,, bathroom,10, en,1
dwelling, airport,, bathroom,10, en,1
leisure, smashed,, drunk,10, en,1
leisure, one player others for more,, games,10, en,1
dwelling, special room,, kitchen,10, en,1
leisure, gift from angels,, music,10, en,1
dwelling, wiring,, house,10, en,1
mobility, street corner,, car,10, en,1
dwelling," ""windows in its walls""",, house,10, en,1
dwelling, live in,, home,10, en,1
dwelling, base,, bad,10, en,1
dwelling, great outdoors,, garden,10, en,1
food, produce store,, potato,10, en,1
leisure, genoegen,, pret,10, nl,1
dwelling, where live,, home,10, en,1
food, steak house,, potato,10, en,1
food, feeding to birds,, bread,10, en,1
mobility, california,, uber,10, en,1
food, antioxidants,, fruit,10, en,1
food, gebroed,, brood,10, nl,1
mobility, engine to power wheels,, car,10, en,1
dwelling, house,, residence,10, en,1
mobility, take to island,, plane,10, en,1
leisure, competition,, games,10, en,1
food, solanaceous vegetable,, potato,10, en,1
leisure, tram,, tram,10, en,1
leisure, home,, party,10, en,1
leisure, tour,, travel,10, en,1
food, table,, food,10, en,1
leisure, car,, car,10, en,1
mobility, compartment,, car,10, en,1
mobility, airplane,, airplane,10, en,1
food, vegetable bin,, potato,10, en,1
dwelling, cooking lunch,, kitchen,10, en,1
dwelling, backyard,, garden,10, en,1
food, taste sour,, milk,10, en,1
food, gallery opening,, food,10, en,1
food, fill glass,, milk,10, en,1
dwelling, welcome,, home,10, en,1
food, nourishment,, food,10, en,1
dwelling, home,, home,10, nl,1
mobility, show,, car,10, en,1
leisure, express feelings,, music,10, en,1
food, tangible thing,, fruit,10, en,1
mobility, single purpose device,, car,10, en,1
dwelling, durables,, appliance,10, en,1
mobility, schering,, vlak,10, nl,1
food, rise overnight,, bread,10, en,1
dwelling, part of yard,, garden,10, en,1
mobility, drive down street,, bus,10, en,1
food, finger food,, bread,10, en,1
food, salad,, potato,10, en,1
food, making juice,, fruit,10, en,1
food, market,, bread,10, en,1
leisure, menstruatie,, feest,10, nl,1
food, gewas,, vegetable,10, nl,1
dwelling, wicked,, bad,10, en,1
leisure, part,, party,10, en,1
food, film,, brood,10, en,1
food, ireland,, potato,10, en,1
food, cooking pot,, potato,10, en,1
leisure, celebrating occasion,, party,10, en,1
food, produce section of supermarket,, potato,10, en,1
food, cake on pans,, food,10, en,1
food, meal,, meat,10, en,1
food, food ingredient,, potato,10, en,1
mobility, kill dog,, car,10, en,1
dwelling, washing up,, bathroom,10, en,1
mobility, going too fast,, car,10, en,1
dwelling, park,, garden,10, en,1
leisure, going,, visit,10, en,1
leisure, kunjung,, visit,10, ms,1
leisure, visit,, bezoek,10, en,1
food, tasty food,, meat,10, en,1
dwelling, surface of earth,, house,10, en,1
mobility, hangar,, airplane,10, en,1
food, ovest,, fruit,10, en,1
dwelling, military base,, kitchen,10, en,1
mobility, many seats,, bus,10, en,1
leisure, guard tower,, watch,10, en,1
mobility, stem meaning car,, auto,10, en,1
food, bin,, potato,10, en,1
food, metaal,, eten,10, nl,1
leisure, party,, games,10, en,1
mobility, fuel powered device,, airplane,10, en,1
food, murder,, meat,10, en,1
leisure, ebrious,, drunk,10, en,1
mobility, pass another on left side,, car,10, en,1
food, grocery,, vegetable,10, en,1
mobility, wagon,, car,10, en,1
mobility, bottom out,, car,10, en,1
food, potato farm,, potato,10, en,1
food, maaltijd,, eten,10, nl,1
leisure, art,, music,10, en,1
leisure, special kind of sound,, music,10, en,1
leisure, act,, relax,10, en,1
mobility, kill person,, car,10, en,1
mobility, smooth,, plane,10, en,1
dwelling," ""getting clean after days work""",, bath,10, en,1
food, restraunt,, food,10, en,1
food, rigid portable object,, fruit,10, en,1
mobility, part called crank,, car,10, en,1
leisure, often multiple instruments,, music,10, en,1
dwelling, restaurant,, kitchen,10, en,1
food, timothy miles bindon rice,, rice,10, en,1
leisure, fon,, fun,10, en,1
dwelling, lawn,, garden,10, en,1
food, garden patch,, potato,10, en,1
food, voedsel,, eten,10, nl,1
food, very poor source of calcium,, meat,10, en,1
leisure, tune,, music,10, en,1
food, restaraunt,, potato,10, en,1
dwelling, bread,, bread,10, en,1
leisure, go on vacation,, vacation,10, en,1
food, pieper,, aardappel,10, nl,1
dwelling, home page,, home,10, en,1
mobility, traversing skies,, airplane,10, en,1
food, park,, food,10, en,1
food, chefs to cook,, meat,10, en,1
leisure, rekreasi,, recreation,10, ms,1
food, optical device,, potato,10, en,1
leisure, gathering,, party,10, en,1
dwelling, apartment,, bathroom,10, en,1
food, forage,, food,10, en,1
leisure, sot,, drunk,10, en,1
dwelling, bookstore,, bathroom,10, en,1
food, pantry,, rice,10, en,1
mobility, aircraft,, airplane,10, en,1
mobility, drop off fare,, cab,10, en,1
leisure, politics,, party,10, en,1
dwelling, lousy,, bad,10, en,1
food, wal mart,, meat,10, en,1
mobility, cargo,, airplane,10, en,1
mobility, junk yard,, car,10, en,1
food, basket,, bread,10, en,1
dwelling, rooms,, house,10, en,1
dwelling, vliegtuig,, vliegtuig,10, nl,1
mobility, automatic,, auto,10, en,1
dwelling, grow healthy food,, garden,10, en,1
mobility, bank to right,, plane,10, en,1
mobility, public transport,, train,10, en,1
dwelling, rest body,, sleep,10, en,1
food, buying,, meat,10, en,1
leisure, soothing savage beast,, music,10, en,1
food, baker,, bread,10, en,1
food, padi,, rice,10, ms,1
dwelling, evil,, bad,10, en,1
food, solanum,, potato,10, en,1
dwelling, good investment,, house,10, en,1
dwelling, necessity,, sleep,10, en,1
leisure, union,, reunion,10, en,1
mobility, back out of parking space,, car,10, en,1
dwelling, eating meals,, kitchen,10, en,1
food, ham sandwich,, meat,10, en,1
food, grocery,, food,10, en,1
food, bounty of earth,, fruit,10, en,1
mobility, car,, car,10, en,1
food, pot of soup,, potato,10, en,1
dwelling, apply,, appliance,10, en,1
leisure, life as sound,, music,10, en,1
dwelling, cook food,, kitchen,10, en,1
mobility, taxicab,, uber,10, en,1
dwelling, relax,, bath,10, en,1
leisure, video game,, reunion,10, en,1
mobility, automobile,, auto,10, en,1
dwelling, dwelling,, home,10, en,1
food, resturant,, meat,10, en,1
leisure, entertain people,, games,10, en,1
leisure, sukan,, sport,10, ms,1
leisure, played people,, games,10, en,1
leisure, vermaak,, pret,10, nl,1
leisure, lawat,, visit,10, ms,1
mobility," ""neighbors house""",, car,10, en,1
leisure, information,, music,10, en,1
food, raise while cooks,, bread,10, en,1
food, diet,, food,10, en,1
mobility, creating global warming,, car,10, en,1
mobility, loser cruiser,, bus,10, en,1
dwelling, where heart,, home,10, en,1
leisure," ""mans way of challenging himself""",, games,10, en,1
mobility, glass windows,, bus,10, en,1
mobility, taxi,, taxi,10, nl,1
dwelling, relax,, home,10, en,1
leisure, celebration,, party,10, en,1
leisure, potato,, potato,10, en,1
food, painting in still life,, fruit,10, en,1
leisure, peristiwa,, event,10, ms,1
mobility, kill,, bus,10, en,1
food, fuel,, food,10, en,1
leisure, jewelery store,, watch,10, en,1
mobility, michigan,, bus,10, en,1
dwelling, where cook tomatoes yum,, kitchen,10, en,1
leisure, happening to person,, event,10, en,1
mobility, airport,, taxi,10, en,1
dwelling, soothing tired skin,, bath,10, en,1
leisure, recreatie,, recreation,10, nl,1
leisure, walk off,, drunk,10, en,1
dwelling, life,, sleep,10, en,1
leisure, drawer,, games,10, en,1
leisure, airplane,, airplane,10, en,1
dwelling, ship,, ship,10, en,1
dwelling, play,, house,10, en,1
dwelling, gym,, bathroom,10, en,1
leisure, nonaligned,, party,10, en,1
food, vitamin c,, fruit,10, en,1
food, drive in movie,, food,10, en,1
mobility, bridge,, ship,10, en,1
food, casserole,, potato,10, en,1
leisure, partie,, party,10, en,1
dwelling, belong to,, house,10, en,1
food, potato sack,, potato,10, en,1
food, voeding,, eten,10, nl,1
leisure, sing along,, singalong,10, en,1
leisure, way to commuinicate deep emotions,, music,10, en,1
leisure, recreaasje,, recreation,10, nl,1
leisure, sound beautiful,, music,10, en,1
food, pot,, potato,10, en,1
food, stomach,, food,10, en,1
dwelling, vicious,, bad,10, en,1
leisure, rough and tumble,, fun,10, en,1
dwelling, bathroom,, bathroom,10, nl,1
food, spring roll,, meat,10, en,1
food," ""shepards pie""",, potato,10, en,1
leisure, feestelijkheid,, feest,10, nl,1
mobility, ocean,, ship,10, en,1
mobility, drive up street,, car,10, en,1
food, what get from lobster,, meat,10, en,1
leisure, heal,, music,10, en,1
mobility, large vehicle,, bus,10, en,1
dwelling, audience,, house,10, en,1
food," ""restaurants kitchen""",, potato,10, en,1
food, vlees,, meat,10, nl,1
leisure, do,, party,10, en,1
leisure, slack,, relax,10, en,1
dwelling, city,, house,10, en,1
food, mesh bag,, potato,10, en,1
food, grounf,, potato,10, en,1
food, cupboard,, food,10, en,1
dwelling, house,, house,10, nl,1
mobility, vehicle,, airplane,10, en,1
dwelling, where make,, home,10, en,1
mobility, driveway,, car,10, en,1
food, dinner,, bread,10, en,1
leisure, many colours including brown,, watch,10, en,1
dwelling, own home,, bath,10, en,1
leisure, human activity,, travel,10, en,1
food, effect of suppressing hunger,, food,10, en,1
dwelling, slaap,, slaap,10, en,1
food, nutriment,, milk,10, en,1
leisure, cause emotions in people,, music,10, en,1
food, kansas,, potato,10, en,1
dwelling, woonkamer,, woonkamer,10, nl,1
dwelling, place to keep possessions,, home,10, en,1
leisure, provide comfort,, music,10, en,1
mobility, uber,, uber,10, en,1
leisure, dronken,, drunk,10, nl,1
food, best when ripe,, fruit,10, en,1
leisure, celebrate,, party,10, en,1
dwelling, cuisine,, kitchen,10, en,1
dwelling, shop,, house,10, en,1
mobility, propellers,, airplane,10, en,1
mobility, drive to park,, car,10, en,1
leisure, food,, food,10, en,1
mobility, another word for taxi,, cab,10, en,1
mobility, go for spin,, car,10, en,1
food, make jelly,, fruit,10, en,1
mobility, land at airport,, plane,10, en,1
mobility, back up,, car,10, en,1
dwelling, collection of living things,, garden,10, en,1
mobility, roll downhill,, car,10, en,1
mobility, four tyres,, car,10, en,1
food, fridge,, food,10, en,1
dwelling, milk,, milk,10, en,1
dwelling, kitchen,, house,10, en,1
mobility, prepare,, train,10, en,1
mobility, 4 tires,, car,10, en,1
dwelling, plants,, garden,10, en,1
food, earthapple,, potato,10, en,1
leisure, sound jarring,, music,10, en,1
mobility, another name for automobile,, car,10, en,1
mobility, drive down lane,, car,10, en,1
mobility, vessel,, ship,10, en,1
dwelling, gound,, sleep,10, en,1
food, wonga,, bread,10, en,1
mobility, vliegtuig,, plane,10, nl,1
leisure, relax people,, music,10, en,1
mobility, swa,, auto,10, ms,1
food, vlees,, vlees,10, en,1
food, people to eat,, meat,10, en,1
leisure, quiet mind,, music,10, en,1
dwelling, full bloom,, garden,10, en,1
dwelling, castle,, home,10, en,1
leisure, afflict,, visit,10, en,1
mobility, take away,, bus,10, en,1
food, oven,, food,10, en,1
mobility, near destination,, train,10, en,1
leisure, make humans dance,, music,10, en,1
mobility, car show,, car,10, en,1
leisure, make feel good,, music,10, en,1
food, mcdonalds only kidding,, meat,10, en,1
dwelling, jelek,, bad,10, ms,1
leisure, change,, relax,10, en,1
food, often selected,, food,10, en,1
leisure, very soothing pastime,, music,10, en,1
leisure, disport,, sport,10, en,1
food, alot of vitamins,, fruit,10, en,1
leisure, sequence of sounds,, music,10, en,1
leisure, wasted,, drunk,10, en,1
food, cereal,, bread,10, en,1
leisure, do besides work,, relax,10, en,1
leisure, drink,, drunk,10, en,1
mobility, pollution,, car,10, en,1
leisure, celebrating impending wedding,, party,10, en,1
dwelling, television season,, house,10, en,1
food, decay,, fruit,10, en,1
food, healthy source of food,, fruit,10, en,1
food, babies,, milk,10, en,1
mobility, zoo,, train,10, en,1
dwelling, settle on foundation,, house,10, en,1
food, prevent starvation,, food,10, en,1
leisure, beutifull,, music,10, en,1
leisure, social gathering,, party,10, en,1
food, supermarket,, food,10, en,1
leisure, plezierig,, fun,10, nl,1
dwelling, organism need rest,, sleep,10, en,1
leisure, rest,, relax,10, en,1
leisure, expression of emotion,, music,10, en,1
dwelling, malodorous,, bad,10, en,1
mobility, vehicle,, car,10, en,1
food, brood,, bread,10, nl,1
leisure, social event,, holiday,10, en,1
mobility, sky,, airplane,10, en,1
food, freezer,, milk,10, en,1
dwelling, shelter for humans,, house,10, en,1
food, bear,, fruit,10, en,1
food, flesh,, meat,10, en,1
leisure, gear,, watch,10, en,1
food, exploit,, milk,10, en,1
dwelling, hanging washing in,, bathroom,10, en,1
food, hang,, brood,10, en,1
food, marinating,, meat,10, en,1
food, inanimate object,, meat,10, en,1
mobility, freeway,, car,10, en,1
food, brook,, fruit,10, en,1
food, comes in plastic containers,, milk,10, en,1
leisure, jam tangan,, watch,10, ms,1
mobility, riding,, train,10, en,1
mobility, travel,, airplane,10, en,1
dwelling, cooking in,, kitchen,10, en,1
dwelling, house live,, home,10, en,1
dwelling, badkuip,, bath,10, nl,1
leisure, make people happy or sad,, music,10, en,1
food, potato bin,, potato,10, en,1
leisure, traffic,, travel,10, en,1
dwelling, taking shower,, bathroom,10, en,1
leisure, see new places,, travel,10, en,1
leisure, enjoyable,, fun,10, en,1
food, become ripe,, fruit,10, en,1
dwelling, more than one window,, house,10, en,1
food, replenish bodies energy,, food,10, en,1
mobility, transportation,, airplane,10, en,1
dwelling, tend,, garden,10, en,1
food, bodily secretion,, milk,10, en,1
dwelling, where prepare food,, kitchen,10, en,1
food," ""farmers market""",, potato,10, en,1
mobility, gown,, train,10, en,1
dwelling, house,, bath,10, en,1
dwelling, time period,, sleep,10, en,1
leisure, recorded emotion,, music,10, en,1
food, food,, food,10, nl,1
leisure, park,, recreation,10, en,1
leisure," ""produces visual images in ones imagination""",, music,10, en,1
leisure, party,, feest,10, en,1
food, part of many foods,, milk,10, en,1
dwelling, opera,, bathroom,10, en,1
food, feed dog,, meat,10, en,1
leisure, locomotion,, travel,10, en,1
mobility, travel down road,, car,10, en,1
food, bottle,, milk,10, en,1
food," ""farmers field""",, potato,10, en,1
mobility, watercraft,, ship,10, en,1
mobility, seat 4 passengers,, car,10, en,1
mobility, take family on vacation,, car,10, en,1
mobility, aeroplane,, plane,10, en,1
leisure, common language to all,, music,10, en,1
leisure, scheduled action,, holiday,10, en,1
mobility, not taking subway,, bus,10, en,1
food, vine,, potato,10, en,1
dwelling, spoiled,, bad,10, en,1
dwelling, bathroom,, house,10, en,1
leisure, important activity for humans,, fun,10, en,1
dwelling, onderkomen,, house,10, nl,1
food, one of liquids commonly,, milk,10, en,1
dwelling, foul,, bad,10, en,1
mobility, flying,, airplane,10, en,1
mobility, car dealership,, car,10, en,1
food, kentang,, potato,10, ms,1
dwelling, dapur,, kitchen,10, ms,1
food, staple food in orient,, rice,10, en,1
food, bread,, bread,10, nl,1
leisure, bezopen,, dronken,10, nl,1
mobility, hand tool,, plane,10, en,1
food, eating,, potato,10, en,1
mobility, basket,, car,10, en,1
food," ""friends house""",, food,10, en,1
leisure, frolic,, sport,10, en,1
food, diet staple,, bread,10, en,1
food, plant,, vegetable,10, nl,1
leisure, recreation,, music,10, en,1
leisure, bread,, bread,10, en,1
food, animal group,, brood,10, en,1
mobility, multi passenger transportation device,, car,10, en,1
mobility, bread,, bread,10, en,1
leisure, gutter,, drunk,10, en,1
